,2,3,4,5,6,7,8,9,10,11
2,hit,hit,hit,double,double,hit,hit,hit,hit,hit
3,hit,hit,hit,double,double,hit,hit,hit,hit,hit
4,hit,hit,double,double,double,hit,hit,hit,hit,hit
5,hit,hit,double,double,double,hit,hit,hit,hit,hit
6,hit,double,double,double,double,hit,hit,hit,hit,hit
7,double,double,double,double,double,stand,stand,hit,hit,hit
8,stand,stand,stand,stand,double,stand,stand,stand,stand,stand
9,Stansd,stand,stand,stand,stand,stand,stand,stand,stand,stand
