,2,3,4,5,6,7,8,9,10,11
2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
4,No,No,No,Yes,Yes,No,No,No,No,No
5,No,No,No,No,No,No,No,No,No,No
6,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
10,No,No,No,No,No,No,No,No,No,No
11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
