,2,3,4,5,6,7,8,9,10,11
9,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
8,Stand,Stand,Stand,Stand,Double,Stand,Stand,Stand,Stand,Stand
7,Double,Double,Double,Double,Double,Stand,Stand,Hit,Hit,Hit
6,Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
4,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
3,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
2,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
