,2,3,4,5,6,7,8,9,10,11
2,yes,yes,yes,yes,yes,yes,no,no,no,no
3,yes,yes,yes,yes,yes,yes,no,no,no,no
4,no,no,no,yes,yes,no,no,no,no,no
5,no,no,no,no,no,no,no,no,no,no
6,yes,yes,yes,yes,yes,no,no,no,no,no
7,yes,yes,yes,yes,yes,yes,no,no,no,no
8,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
9,yes,yes,yes,yes,yes,no,yes,yes,no,no
10,no,no,no,no,no,no,no,no,no,no
11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
